founder_id	vial_id	generation	males	females
V100	V109a	F2	1	3
V100	V112a	F2	11	14
W100	W101a	F2	8	5
W100	W103a	F2	10	12
W100	W103b	F2	20	14
W100	W103c	F2	1	4
W100	W103d	F2	6	8
W100	W103e	F2	5	6
W100	W104a	F2	10	4
X100	X107b	F2	1	0
X100	X107c	F2	0	1
X100	X108a	F2	12	13
X100	X110a	F2	1	0
X100	X110b	F2	1	3
X100	X110c	F2	1	2
X100	X110d	F2	7	3
Z100	Z101a	F2	4	4
Z100	Z101b	F2	10	9
Z100	Z101d	F2	5	3
Z100	Z102a	F2	0	1
Z100	Z106a	F2	6	8
Z100	Z106c	F2	0	1
Z100	Z111a	F2	4	13
Z100	Z111b	F2	0	2
Z100	Z111c	F2	4	7
Z100	Z111d	F2	0	1
AA100	AA102a	F2	5	7
AA100	AA102b	F2	5	2
AA100	AA102c	F2	4	4
BB100	BB101a	F2	2	0
BB100	BB101d	F2	0	1
BB100	BB112a	F2	0	10
BB100	BB112b	F2	0	3
BB100	BB112c	F2	3	9
BB100	BB114b	F2	6	2
BB100	BB114c	F2	2	2
BB100	BB114d	F2	4	5
BB100	BB114e	F2	1	1
CC100	CC107a	F2	11	5
CC100	CC107b	F2	9	6
A100	A115b3	F3	5	1
A100	A115b4	F3	3	7
A100	A115b5	F3	4	1
B100	B103f1	F3	25	7
B100	B103f2	F3	15	1
B100	B103f3	F3	5	6
C100	C105c1	F3	1	3
C100	C105c2	F3	2	3
C100	C105c3	F3	0	2
D100	D103a1	F3	2	0
D100	D103a2	F3	5	1
E100	E111d1	F3	1	0
E100	E111d2	F3	1	1
E100	E111d3	F3	2	15
F100	F103e2	F3	0	1
G100	G104d1	F3	3	3
G100	G104d2	F3	3	3
G100	G104d3	F3	4	2
H100	H104e1	F3	2	4
H100	H104e2	F3	3	11
H100	H104e3	F3	1	5
I100	I102b2	F3	0	1
I100	I102b4	F3	49	16
J100	J104a1	F3	0	3
J100	J104a2	F3	6	21
J100	J104a3	F3	4	31
K100	K101d1	F3	3	1
K100	K101d2	F3	8	11
K100	K101d3	F3	4	1
L100	L103b1	F3	4	13
L100	L103b2	F3	6	9
L100	L103b3	F3	5	7
L100	L103b4	F3	6	5
N100	N106c1	F3	12	7
N100	N106c2	F3	9	8
N100	N106c3	F3	6	6
P100	P102d1	F3	3	2
P100	P102d2	F3	12	6
S100	S103e1	F3	2	5
S100	S103e2	F3	3	6
S100	S103e3	F3	1	4
T100	T111d1	F3	8	28
T100	T111d2	F3	14	17
T100	T111d3	F3	9	20
U100	U105d2	F3	14	32
V100	V106b1	F3	1	0
V100	V106b3	F3	0	7
V100	V106e1	F3	1	0
V100	V106e3	F3	11	3
W100	W103d1	F3	4	3
W100	W103d2	F3	1	5
X100	X108a1	F3	1	22
X100	X108a2	F3	10	35
X100	X108a3	F3	0	32
Z100	Z111a1	F3	31	21
Z100	Z111a2	F3	16	23
Z100	Z111a3	F3	14	3
BB100	BB114d1	F3	30	28
BB100	BB114d2	F3	19	8
BB100	BB114d3	F3	26	21
CC100	CC107b1	F3	12	3
CC100	CC107b2	F3	2	4
CC100	CC107b3	F3	2	6
A100	A115b4a	F4	12	26
A100	A115b4b	F4	4	12
A100	A115b4c	F4	21	24
A100	A115b4e	F4	10	31
B100	B103f1a	F4	0	10
B100	B103f1b	F4	6	25
B100	B103f1d	F4	7	12
C100	C105c2b	F4	4	9
D100	D103a2a	F4	10	5
E100	E111d3a	F4	0	2
E100	E111d3d	F4	20	5
E100	E111d3e	F4	10	5
G100	G104d3a	F4	16	28
H100	H104e1a	F4	12	22
H100	H104e1b	F4	11	19
H100	H104e1c	F4	5	25
I100	I102b4a	F4	14	27
I100	I102b4b	F4	3	7
I100	I102b4c	F4	7	22
J100	J104a2a	F4	12	14
J100	J104a2b	F4	15	12
J100	J104a2c	F4	29	18
J100	J104a2d	F4	10	13
K100	K101d2a	F4	6	9
K100	K101d2c	F4	5	9
K100	K101d2d	F4	4	6
L100	L103b1a	F4	2	4
L100	L103b1b	F4	6	6
L100	L103b1c	F4	0	5
N100	N106c2a	F4	8	2
N100	N106c2b	F4	6	7
N100	N106c2c	F4	6	2
P100	P102d1a	F4	19	3
P100	P102d1b	F4	13	1
S100	S103e1a	F4	1	6
S100	S103e1b	F4	6	36
S100	S103e1c	F4	5	12
S100	S103e1d	F4	1	4
T100	T111d3a	F4	15	18
T100	T111d3b	F4	15	14
T100	T111d3c	F4	13	20
T100	T111d3d	F4	5	23
T100	T111d3e	F4	13	27
U100	U105d2a	F4	32	14
U100	U105d2c	F4	20	7
U100	U105d2d	F4	8	16
U100	U105d2e	F4	19	9
V100	V106e3a	F4	26	24
V100	V106e3c	F4	1	0
V100	V106e3e	F4	16	7
W100	W103d2b	F4	2	4
W100	W103d2c	F4	1	1
X100	X108a2b	F4	18	17
X100	X108a2c	F4	9	25
X100	X108a2d	F4	13	17
Z100	Z111a3a	F4	17	11
Z100	Z111a3b	F4	15	18
BB100	BB114d1a	F4	11	19
BB100	BB114d1f	F4	19	21
BB100	BB114d1g	F4	26	15
CC100	CC107b3a	F4	24	10
CC100	CC107b3b	F4	12	6
