founder_id	mother_vial_id	vial_id	treatment	males	females
A100	AA102	AA102c	18	4	4
A100	AA104	AA104a	25	2	0
A100	AA104	AA104b	25	0	1
A100	AA104	AA104c	25	0	1
A100	AA104	AA104d	25	3	0
A100	AA104	AA104e	25	2	0
A100	AA107	AA107a	12	1	3
A100	AA107	AA107b	12	0	1
A100	AA107	AA107c	12	3	5
A100	AA107	AA107e	12	1	3
A100	AA109	AA109a	12	1	10
A100	AA109	AA109b	12	0	1
A100	AA109	AA109d	12	2	7
A100	AA111	AA111a	25	2	3
A100	AA111	AA111c	25	3	1
A100	AA111	AA111d	25	1	0
A100	AA113	AA113a	12	0	5
A100	AA113	AA113b	12	1	0
A100	AA113	AA113d	12	2	8
A100	AA114	AA114a	25	19	22
A100	AA114	AA114b	25	5	1
A100	AA114	AA114c	25	6	6
A100	AA114	AA114e	25	23	19
A100	AA115	AA115b	12	1	7
A100	AA115	AA115c	12	2	5
A100	AA115	AA115d	12	0	3
A100	AA115	AA115e	12	1	6
BB100	BB101	BB101a	18	2	0
BB100	BB101	BB101d	18	0	1
BB100	BB103	BB103a	25	1	2
BB100	BB103	BB103b	25	1	0
BB100	BB103	BB103c	25	2	0
BB100	BB104	BB104a	12	1	3
BB100	BB104	BB104d	12	0	1
BB100	BB104	BB104e	12	2	2
BB100	BB105	BB105a	12	0	3
BB100	BB105	BB105c	12	11	12
BB100	BB105	BB105d	12	1	4
BB100	BB105	BB105e	12	2	2
BB100	BB106	BB106b	25	6	5
BB100	BB106	BB106c	25	1	2
BB100	BB106	BB106d	25	4	19
BB100	BB106	BB106e	25	2	0
BB100	BB107	BB107a	12	1	1
BB100	BB107	BB107b	12	4	3
BB100	BB107	BB107c	12	0	2
BB100	BB107	BB107d	12	3	3
BB100	BB107	BB107e	12	4	3
BB100	BB108	BB108a	25	8	4
BB100	BB108	BB108b	25	7	3
BB100	BB108	BB108d	25	9	10
BB100	BB108	BB108e	25	2	6
BB100	BB111	BB111e	25	6	6
BB100	BB112	BB112a	18	0	10
BB100	BB112	BB112b	18	0	3
BB100	BB112	BB112c	18	3	9
BB100	BB113	BB113b	12	2	1
BB100	BB113	BB113c	12	1	6
BB100	BB113	BB113d	12	0	1
BB100	BB114	BB114b	18	6	2
BB100	BB114	BB114c	18	2	2
BB100	BB114	BB114d	18	4	5
BB100	BB114	BB114e	18	1	1
CC100	CC102	CC102c	12	3	7
CC100	CC103	CC103a	25	8	0
CC100	CC103	CC103b	25	16	6
CC100	CC105	CC105a	12	17	9
CC100	CC105	CC105b	12	1	3
CC100	CC105	CC105c	12	9	3
CC100	CC105	CC105e	12	0	1
CC100	CC106	CC106e	12	2	1
