founder_id	mother_vial_id	mother_generation	mother_males	mother_females	daughter_vial_id	daughter_generation	daughter_males	daughter_females
G100	G107	F1	38	17	G107a	F2	2	3
G100	G107	F1	38	17	G107b	F2	6	2
G100	G107	F1	38	17	G107c	F2	14	1
G100	G107	F1	38	17	G107e	F2	14	1
G100	G110	F1	14	8	G110a	F2	14	3
G100	G110	F1	14	8	G110b	F2	4	3
G100	G110	F1	14	8	G110c	F2	2	3
G100	G110	F1	14	8	G110d	F2	13	7
G100	G110	F1	14	8	G110e	F2	9	5
G100	G112	F1	18	16	G112a	F2	23	1
H100	H100	G0	25	27	H101	F1	45	55
H100	H100	G0	25	27	H102	F1	13	31
H100	H100	G0	25	27	H104	F1	20	20
H100	H100	G0	25	27	H106	F1	23	12
H100	H100	G0	25	27	H107	F1	28	21
H100	H100	G0	25	27	H108	F1	11	19
H100	H100	G0	25	27	H110	F1	2	18
H100	H100	G0	25	27	H113	F1	25	15
H100	H100	G0	25	27	H114	F1	23	14
H100	H102	F1	13	31	H102a	F2	0	1
H100	H102	F1	13	31	H102c	F2	1	12
H100	H102	F1	13	31	H102d	F2	0	2
H100	H104	F1	20	20	H104a	F2	0	2
H100	H104	F1	20	20	H104b	F2	0	1
H100	H104	F1	20	20	H104d	F2	2	0
H100	H104	F1	20	20	H104e	F2	10	5
H100	H104e	F2	10	5	H104e1	F3	2	4
H100	H104e	F2	10	5	H104e2	F3	3	11
H100	H104e	F2	10	5	H104e3	F3	1	5
H100	H104e1	F3	2	4	H104e1a	F4	12	22
H100	H104e1	F3	2	4	H104e1b	F4	11	19
H100	H104e1	F3	2	4	H104e1c	F4	5	25
H100	H107	F1	28	21	H107a	F2	14	8
H100	H107	F1	28	21	H107b	F2	10	7
H100	H107	F1	28	21	H107d	F2	0	1
H100	H107	F1	28	21	H107e	F2	1	0
H100	H108	F1	11	19	H108a	F2	1	8
H100	H108	F1	11	19	H108c	F2	13	6
H100	H108	F1	11	19	H108e	F2	0	1
H100	H110	F1	2	18	H110a	F2	1	0
H100	H110	F1	2	18	H110b	F2	1	3
H100	H110	F1	2	18	H110c	F2	6	10
H100	H110	F1	2	18	H110d	F2	1	0
H100	H110	F1	2	18	H110e	F2	0	1
H100	H113	F1	25	15	H113a	F2	0	3
H100	H113	F1	25	15	H113b	F2	5	13
H100	H113	F1	25	15	H113c	F2	1	0
H100	H114	F1	23	14	H114b	F2	5	3
H100	H114	F1	23	14	H114c	F2	3	1
H100	H114	F1	23	14	H114e	F2	7	12
I100	I100	G0	20	30	I102	F1	23	9
I100	I100	G0	20	30	I104	F1	8	2
I100	I100	G0	20	30	I106	F1	34	18
I100	I100	G0	20	30	I107	F1	13	11
I100	I100	G0	20	30	I111	F1	7	26
I100	I102	F1	23	9	I102a	F2	19	13
I100	I102	F1	23	9	I102b	F2	1	4
I100	I102	F1	23	9	I102c	F2	0	3
I100	I102	F1	23	9	I102d	F2	3	10
I100	I102b	F2	1	4	I102b2	F3	0	1
I100	I102b	F2	1	4	I102b4	F3	49	16
I100	I102b4	F3	49	16	I102b4a	F4	14	27
I100	I102b4	F3	49	16	I102b4b	F4	3	7
I100	I102b4	F3	49	16	I102b4c	F4	7	22
I100	I106	F1	34	18	I106a	F2	7	4
I100	I107	F1	13	11	I107a	F2	1	0
I100	I107	F1	13	11	I107b	F2	0	1
I100	I107	F1	13	11	I107c	F2	12	4
I100	I107	F1	13	11	I107d	F2	1	4
I100	I107	F1	13	11	I107e	F2	10	1
I100	I111	F1	7	26	I111a	F2	6	16
I100	I111	F1	7	26	I111d	F2	4	5
I100	I111	F1	7	26	I111e	F2	0	3
J100	J100	G0	45	58	J102	F1	27	19
J100	J100	G0	45	58	J104	F1	36	26
J100	J100	G0	45	58	J106	F1	38	21
J100	J100	G0	45	58	J107	F1	32	12
J100	J102	F1	27	19	J102a	F2	0	2
J100	J102	F1	27	19	J102b	F2	12	12
J100	J102	F1	27	19	J102c	F2	1	3
J100	J102	F1	27	19	J102d	F2	17	40
J100	J102	F1	27	19	J102e	F2	0	1
J100	J104	F1	36	26	J104a	F2	13	18
J100	J104a	F2	13	18	J104a1	F3	0	3
J100	J104a	F2	13	18	J104a2	F3	6	21
J100	J104a	F2	13	18	J104a3	F3	4	31
J100	J104a2	F3	6	21	J104a2a	F4	12	14
J100	J104a2	F3	6	21	J104a2b	F4	15	12
J100	J104a2	F3	6	21	J104a2c	F4	29	18
J100	J104a2	F3	6	21	J104a2d	F4	10	13
J100	J106	F1	38	21	J106b	F2	24	17
J100	J106	F1	38	21	J106c	F2	0	6
J100	J106	F1	38	21	J106d	F2	27	8
J100	J106	F1	38	21	J106e	F2	46	9
J100	J107	F1	32	12	J107c	F2	1	0
J100	J107	F1	32	12	J107d	F2	2	0
K100	K101d	F2	15	12	K101d1	F3	3	1
K100	K101d	F2	15	12	K101d2	F3	8	11
K100	K101d	F2	15	12	K101d3	F3	4	1
K100	K101d2	F3	8	11	K101d2a	F4	6	9
K100	K101d2	F3	8	11	K101d2c	F4	5	9
K100	K101d2	F3	8	11	K101d2d	F4	4	6
L100	L103b	F2	7	6	L103b1	F3	4	13
L100	L103b	F2	7	6	L103b2	F3	6	9
L100	L103b	F2	7	6	L103b3	F3	5	7
L100	L103b	F2	7	6	L103b4	F3	6	5
L100	L103b1	F3	4	13	L103b1a	F4	2	4
L100	L103b1	F3	4	13	L103b1b	F4	6	6
L100	L103b1	F3	4	13	L103b1c	F4	0	5
N100	N106c	F2	5	6	N106c1	F3	12	7
N100	N106c	F2	5	6	N106c2	F3	9	8
N100	N106c	F2	5	6	N106c3	F3	6	6
N100	N106c2	F3	9	8	N106c2a	F4	8	2
N100	N106c2	F3	9	8	N106c2b	F4	6	7
N100	N106c2	F3	9	8	N106c2c	F4	6	2
P100	P102d	F2	9	7	P102d1	F3	3	2
P100	P102d	F2	9	7	P102d2	F3	12	6
P100	P102d1	F3	3	2	P102d1a	F4	19	3
P100	P102d1	F3	3	2	P102d1b	F4	13	1
S100	S103e	F2	2	10	S103e1	F3	2	5
S100	S103e	F2	2	10	S103e2	F3	3	6
S100	S103e	F2	2	10	S103e3	F3	1	4
S100	S103e1	F3	2	5	S103e1a	F4	1	6
S100	S103e1	F3	2	5	S103e1b	F4	6	36
S100	S103e1	F3	2	5	S103e1c	F4	5	12
S100	S103e1	F3	2	5	S103e1d	F4	1	4
T100	T111d	F2	1	5	T111d1	F3	8	28
T100	T111d	F2	1	5	T111d2	F3	14	17
T100	T111d	F2	1	5	T111d3	F3	9	20
T100	T111d3	F3	9	20	T111d3a	F4	15	18
T100	T111d3	F3	9	20	T111d3b	F4	15	14
T100	T111d3	F3	9	20	T111d3c	F4	13	20
T100	T111d3	F3	9	20	T111d3d	F4	5	23
T100	T111d3	F3	9	20	T111d3e	F4	13	27
U100	U105d	F2	15	14	U105d2	F3	14	32
U100	U105d2	F3	14	32	U105d2a	F4	32	14
U100	U105d2	F3	14	32	U105d2c	F4	20	7
U100	U105d2	F3	14	32	U105d2d	F4	8	16
U100	U105d2	F3	14	32	U105d2e	F4	19	9
V100	V106b	F2	3	4	V106b1	F3	1	0
V100	V106b	F2	3	4	V106b3	F3	0	7
V100	V106e	F2	7	22	V106e1	F3	1	0
V100	V106e	F2	7	22	V106e3	F3	11	3
V100	V106e3	F3	11	3	V106e3a	F4	26	24
V100	V106e3	F3	11	3	V106e3c	F4	1	0
V100	V106e3	F3	11	3	V106e3e	F4	16	7
W100	W103d	F2	6	8	W103d1	F3	4	3
W100	W103d	F2	6	8	W103d2	F3	1	5
W100	W103d2	F3	1	5	W103d2b	F4	2	4
W100	W103d2	F3	1	5	W103d2c	F4	1	1
X100	X108a	F2	12	13	X108a1	F3	1	22
X100	X108a	F2	12	13	X108a2	F3	10	35
X100	X108a	F2	12	13	X108a3	F3	0	32
X100	X108a2	F3	10	35	X108a2b	F4	18	17
X100	X108a2	F3	10	35	X108a2c	F4	9	25
X100	X108a2	F3	10	35	X108a2d	F4	13	17
Z100	Z111a	F2	4	13	Z111a1	F3	31	21
Z100	Z111a	F2	4	13	Z111a2	F3	16	23
Z100	Z111a	F2	4	13	Z111a3	F3	14	3
Z100	Z111a3	F3	14	3	Z111a3a	F4	17	11
Z100	Z111a3	F3	14	3	Z111a3b	F4	15	18
